x_mm,contour_wall,center,center_T,center_g,contour_g
4.387833923101425171e+01,3.261661878914846602e-01,3.262050057135602033e-01,2.312819824218750000e+02,9.401191957294940948e-03,0.000000000000000000e+00
4.430435225367546082e+01,3.247688124259353049e-01,3.248067705688166829e-01,2.311496734619140625e+02,9.457761421799659729e-03,0.000000000000000000e+00
4.473036527633666992e+01,3.233640966226510871e-01,3.234010628280006849e-01,2.310074462890625000e+02,9.511357173323631287e-03,0.000000000000000000e+00
4.515638202428817749e+01,3.219553138754867039e-01,3.219900978182664852e-01,2.308562164306640625e+02,9.562168270349502563e-03,0.000000000000000000e+00
4.558239504694938660e+01,3.205437206386490545e-01,3.205759916730150927e-01,2.306968994140625000e+02,9.610376320779323578e-03,0.000000000000000000e+00
4.600840806961059570e+01,3.191301435267479003e-01,3.191608274610631679e-01,2.305303955078125000e+02,9.656148962676525116e-03,0.000000000000000000e+00
4.643442109227180481e+01,3.177154091543931136e-01,3.177466882512273716e-01,2.303572540283203125e+02,9.699641726911067963e-03,0.000000000000000000e+00
4.686043411493301392e+01,3.163007078466226751e-01,3.163354587248179972e-01,2.301782379150390625e+02,9.741002693772315979e-03,0.000000000000000000e+00
4.728645086288452148e+01,3.148878250909937226e-01,3.149282300131200363e-01,2.299942932128906250e+02,9.780363179743289948e-03,0.000000000000000000e+00
4.771246388554573059e+01,3.134784141167259452e-01,3.135242085661080202e-01,2.298051300048828125e+02,9.817849844694137573e-03,0.000000000000000000e+00
4.813847690820693970e+01,3.120739297655324429e-01,3.121237580942102796e-01,2.296115112304687500e+02,9.853580966591835022e-03,0.000000000000000000e+00
4.856448993086814880e+01,3.106759591374640417e-01,3.107264818224140801e-01,2.294133605957031250e+02,9.887673892080783844e-03,0.000000000000000000e+00
4.899050667881965637e+01,3.092853619117149067e-01,3.093339999153546516e-01,2.292113494873046875e+02,9.920223616063594818e-03,0.000000000000000000e+00
4.941651970148086548e+01,3.079027001862197355e-01,3.079473373751481224e-01,2.290059356689453125e+02,9.951330721378326416e-03,0.000000000000000000e+00
