x_mm,contour_wall,center,center_T,side_wall_mid
3.621009063720703125e+01,2.816284596920013428e-01,2.817060053348541260e-01,1.997982482910156250e+02,2.816923260688781738e-01
3.663610458374023438e+01,2.802881598472595215e-01,2.803657352924346924e-01,1.995269165039062500e+02,2.803517580032348633e-01
3.706211471557617188e+01,2.789612710475921631e-01,2.790390849113464355e-01,1.992574157714843750e+02,2.790249586105346680e-01
3.748813247680664062e+01,2.776487469673156738e-01,2.777258157730102539e-01,1.989897308349609375e+02,2.777115702629089355e-01
3.791414642333984375e+01,2.763490378856658936e-01,2.764258086681365967e-01,1.987239379882812500e+02,2.764112651348114014e-01
3.834016036987304688e+01,2.750623524188995361e-01,2.751384973526000977e-01,1.984597625732421875e+02,2.751239538192749023e-01
3.876617050170898438e+01,2.737881541252136230e-01,2.738636434078216553e-01,1.981973266601562500e+02,2.738493978977203369e-01
3.919218444824218750e+01,2.725267708301544189e-01,2.726014256477355957e-01,1.979366149902343750e+02,2.725872993469238281e-01
3.961820220947265625e+01,2.712777853012084961e-01,2.713517248630523682e-01,1.976776123046875000e+02,2.713373303413391113e-01
4.004421615600585938e+01,2.700400948524475098e-01,2.701137363910675049e-01,1.974201965332031250e+02,2.700994014739990234e-01
4.047022628784179688e+01,2.688147723674774170e-01,2.688881456851959229e-01,1.971645355224609375e+02,2.688731551170349121e-01
4.089624023437500000e+01,2.676008343696594238e-01,2.676741182804107666e-01,1.969104614257812500e+02,2.676587104797363281e-01
4.132225799560546875e+01,2.663980424404144287e-01,2.664714157581329346e-01,1.966579895019531250e+02,2.664557099342346191e-01
4.174827194213867188e+01,2.652064263820648193e-01,2.652798593044281006e-01,1.964070129394531250e+02,2.652642428874969482e-01
4.217428207397460938e+01,2.640261352062225342e-01,2.640999257564544678e-01,1.961576843261718750e+02,2.640838325023651123e-01
4.260029602050781250e+01,2.628569304943084717e-01,2.629311084747314453e-01,1.959099273681640625e+02,2.629145383834838867e-01
4.302630996704101562e+01,2.616981565952301025e-01,2.617727220058441162e-01,1.956635589599609375e+02,2.617560625076293945e-01
4.345232772827148438e+01,2.605504989624023438e-01,2.606248855590820312e-01,1.954186706542968750e+02,2.606082260608673096e-01
4.387833786010742188e+01,2.594132125377655029e-01,2.594871520996093750e-01,1.951751708984375000e+02,2.594708800315856934e-01
4.430435180664062500e+01,2.582862973213195801e-01,2.583591043949127197e-01,1.949330291748046875e+02,2.583436667919158936e-01
