x_mm,contour_wall,center,center_T
3.663610294461250305e+01,2.817921599902658003e-01,2.818697625698324272e-01,1.998321228027343750e+02
3.706211596727371216e+01,2.805106428284239173e-01,2.805977018791264710e-01,1.995747070312500000e+02
3.748813271522521973e+01,2.792430789211952091e-01,2.793374121804638732e-01,1.993188934326171875e+02
3.791414573788642883e+01,2.779896335915015837e-01,2.780872733092094040e-01,1.990643157958984375e+02
3.834015876054763794e+01,2.767500588549602347e-01,2.768466239736753209e-01,1.988108367919921875e+02
3.876617178320884705e+01,2.755244208407398032e-01,2.756157782874132378e-01,1.985585784912109375e+02
3.919218480587005615e+01,2.743118764019383815e-01,2.743955628650330270e-01,1.983076782226562500e+02
3.961820155382156372e+01,2.731120452958354372e-01,2.731869365794819537e-01,1.980584259033203125e+02
4.004421457648277283e+01,2.719237867942694842e-01,2.719905772547401290e-01,1.978108520507812500e+02
4.047022759914398193e+01,2.707463404117995687e-01,2.708068981981124335e-01,1.975651855468750000e+02
4.089624062180519104e+01,2.695794416317504605e-01,2.696355356991704810e-01,1.973213043212890625e+02
4.132225736975669861e+01,2.684219166613763252e-01,2.684763740318689695e-01,1.970792541503906250e+02
4.174827039241790771e+01,2.672728562246063921e-01,2.673291321472405779e-01,1.968388977050781250e+02
4.217428341507911682e+01,2.661327232256221476e-01,2.661937935129930488e-01,1.966003417968750000e+02
4.260029643774032593e+01,2.650021128269426374e-01,2.650700936124513185e-01,1.963634948730468750e+02
4.302630946040153503e+01,2.638816036587946501e-01,2.639573711539275336e-01,1.961282501220703125e+02
4.345232620835304260e+01,2.627715924961909755e-01,2.628543862155070521e-01,1.958943786621093750e+02
4.387833923101425171e+01,2.616725257110208425e-01,2.617600807304892307e-01,1.956616516113281250e+02
4.430435225367546082e+01,2.605849488689266913e-01,2.606735288905112635e-01,1.954299163818359375e+02
4.473036527633666992e+01,2.595080353552988162e-01,2.595943339205603606e-01,1.951990051269531250e+02
4.515638202428817749e+01,2.584419504930590694e-01,2.585230909831555679e-01,1.949691619873046875e+02
4.558239504694938660e+01,2.573857850061367913e-01,2.574602299178940235e-01,1.947403717041015625e+02
4.600840806961059570e+01,2.563391751841035959e-01,2.564067591945996538e-01,1.945129852294921875e+02
4.643442109227180481e+01,2.553016415904858505e-01,2.553627284101489536e-01,1.942869873046875000e+02
4.686043411493301392e+01,2.542727213211020687e-01,2.543285674041391720e-01,1.940624542236328125e+02
4.728645086288452148e+01,2.532514555030049297e-01,2.533044414994921056e-01,1.938394622802734375e+02
4.771246388554573059e+01,2.522378441361943224e-01,2.522899869857795907e-01,1.936178894042968750e+02
4.813847690820693970e+01,2.512322178665142847e-01,2.512850054754951490e-01,1.933978729248046875e+02
4.856448993086814880e+01,2.502343121772896417e-01,2.502889679352886532e-01,1.931791381835937500e+02
4.899050667881965637e+01,2.492435815028779533e-01,2.493015602516082674e-01,1.929616546630859375e+02
4.941651970148086548e+01,2.482603730214152649e-01,2.483227824244540471e-01,1.927454528808593750e+02
4.984253272414207458e+01,2.472851496370831181e-01,2.473524360663196253e-01,1.925305786132812500e+02
5.026854574680328369e+01,2.463182419957254121e-01,2.463900252084391396e-01,1.923168029785156250e+02
5.069455876946449280e+01,2.453598484848484862e-01,2.454351200112155074e-01,1.921041412353515625e+02
5.112057551741600037e+01,2.444097376523615972e-01,2.444868607954545359e-01,1.918923492431640625e+02
5.154658854007720947e+01,2.434679425628491489e-01,2.435448342538513722e-01,1.916813659667968750e+02
5.197260156273841858e+01,2.425347607975706921e-01,2.426088915957761993e-01,1.914711761474609375e+02
5.239861458539962769e+01,2.416096467908837031e-01,2.416794626608261276e-01,1.912618865966796875e+02
5.282463133335113525e+01,2.406921707031911273e-01,2.407568780948451115e-01,1.910535430908203125e+02
5.325064435601234436e+01,2.397822829376163867e-01,2.398417495926443155e-01,1.908463592529296875e+02
5.367665737867355347e+01,2.388791238149652885e-01,2.389341432833925749e-01,1.906402740478515625e+02
5.410267040133476257e+01,2.379827925289910162e-01,2.380343071514728348e-01,1.904354095458984375e+02
5.452868342399597168e+01,2.370927600463433316e-01,2.371421420031318839e-01,1.902317657470703125e+02
5.495470017194747925e+01,2.362087122534704542e-01,2.362574825154477864e-01,1.900293121337890625e+02
5.538071319460868835e+01,2.353307483441256232e-01,2.353801468332063773e-01,1.898279876708984375e+02
5.580672621726989746e+01,2.344586864630946454e-01,2.345100192303622710e-01,1.896277465820312500e+02
5.623273923993110657e+01,2.335933036281107045e-01,2.336469178517013578e-01,1.894286193847656250e+02
5.665875226259231567e+01,2.327345667745894797e-01,2.327905451159641148e-01,1.892305450439453125e+02
5.708476901054382324e+01,2.318827734837904109e-01,2.319404546512612020e-01,1.890333709716796875e+02
5.751078203320503235e+01,2.310373947223632873e-01,2.310964315377941336e-01,1.888371124267578125e+02
5.793679505586624146e+01,2.301980171830032285e-01,2.302584592432707078e-01,1.886417694091796875e+02
